Address,Content Type,Status Code,Indexability,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,H1-1,H1-1 Length,H1-2,H1-2 Length,Word Count,Sentence Count,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Response Time,H1-1 Length Length,H1-2 Length Length,Meta Description 1 Length Length,Meta Description 1 Pixel Width Length,Title 1 Length Length,Title 1 Pixel Width Length
https://www.rogue-industries.com/collections/wallets-rogue,text/html; charset=utf-8,200,Indexable,Slim Leather Wallets and Front Pocket Wallets from Rogue Industries,67,608,"Shop Rogue Industries' wallets for men and women. These leather wallets were designed to be sleek, secure, and comfortable.",123,783,Wallets,7,Easy Boneless Chicken Biryani Recipe,36,316,106.0,221322,43090,316,106.0,2.981,1.11,131,70,0,3,3,0,0.859,1,2,3,3,2,3
https://kikoleather.com/collections/wallets/wallets,text/html; charset=utf-8,200,Indexable,"Wallets | Kiko Leather – Tagged ""wallets""",41,361,Kiko has all types of wallets. From traditional leather wallets to slim leather wallets and much more.,102,614,Wallets,7,Search,6,174,74.0,118231,21592,174,74.0,2.351,1.11,116,53,0,6,6,0,0.725,1,1,3,3,2,3
https://crushleathergoods.com/,text/html; charset=utf-8,200,Indexable,Crush Leather Goods - Handmade Leather Bags,43,420,"Discover the elegance and durability of handmade leather bags, crafted with precision and care | Crush Leather Goods.",117,732,Leather Crossbody Bags,22,Mizzou Engineering,18,1731,320.0,634219,76598,1731,320.0,5.409,1.11,125,45,0,8,6,0,0.59,2,2,3,3,2,3
https://creedboutique.com/collections/leather-sample-wallets,text/html; charset=utf-8,200,Indexable,Leather Sample Wallets | Accessories | Creed Boutique US,56,512,"Explore The House of Creed’s hand-crafted leather sample wallets, filled with 8 vials of the most coveted men’s, women’s and universal fragrances.",146,907,Leather Sample Wallets,22,ECE 205 Object Oriented Programming (4),39,662,172.0,482862,99531,662,172.0,3.849,1.11,160,69,0,7,6,0,0.792,2,2,3,3,2,3
https://madebyminga.com/collections/leather-accessories,text/html; charset=utf-8,200,Indexable,Leather Wallets & Accessories – Made by Minga,45,426,"We partner with a small, family-run business that has worked with vegetable-tanned leather, a sustainable leather that is processed with plants, for over 25 years. ",164,994,Leather Wallets & Accessories,29,Choose a Location,17,584,233.0,562693,47768,584,233.0,2.506,1.11,192,67,0,3,3,0,0.952,2,2,3,3,2,3
https://www.markandgraham.com/shop/gift-shops/personalized-gifts-for-him/,text/html,200,Indexable,Personalized Gifts For Him: Leather Wallets & More | Mark and Graham,68,621,Shop Mark and Graham's monogrammed gifts for him to make a personal gesture. Shop for personalized wallets for men and give him something one of a kind.,152,985,Gifts For Him,13,Updated US and Canadian Normalization Factors for TRACI 2.1,59,632,97.0,315625,67951,632,97.0,6.515,1.11,67,62,0,13,13,0,3.996,2,2,3,3,2,3
https://www.gusti-leather.com/accessories/wallets-purses/,text/html; charset=UTF-8,200,Indexable,Leather wallets and purses,26,237,Real leather wallets for men and women. Check out our range of designs in our online shop. RFID protection available too!,121,753,Give your cash a unique and stylish home: Gusti Leather purses and wallets,74,Meet Mario Ferruzzi CALS New Dean,33,2294,406.0,141068,20673,2294,406.0,5.65,1.11,279,147,0,5,5,0,2.818,2,2,3,3,2,3
https://www.leatherology.com/mens-leather-wallets/,text/html; charset=UTF-8,200,Indexable,"Men's Leather  Wallets, Personalized | Leatherology",51,447,"Looking for durable, stylish leather wallets for men? Available in a variety of styles, our men's leather wallets can be personalized with a custom monogram.",157,958,Men's Leather Wallets,21,99 Bottles of OOP - 2nd Edition,31,1198,291.0,375522,60428,1198,291.0,4.117,1.11,295,198,0,4,4,0,1.079,2,2,3,3,2,3
https://www.paulmarius.com/small-leather-goods/leather-wallets.html,text/html; charset=UTF-8,200,Indexable,Leather Wallets for men | PAUL MARIUS,37,351,PAUL MARIUS presents its selection of leather wallets.,54,339,Wallets,7,ECE 205 Object Oriented Programming (4),39,341,116.0,246142,36927,341,116.0,2.94,1.11,244,166,0,7,6,0,1.145,1,2,2,3,2,3
https://maverickleather.com/en/products/wallets,text/html; charset=UTF-8,200,Indexable,Maverick | Top quality leather wallets,38,326,"Stylish wallets, compact pocket money purses or practical card holders. Whatever you like, Maverick is the leather gear you’re looking for.",139,847,Wallets,7,2024–25 Ski Passport grades 3–6,31,1065,214.0,657308,115153,1065,214.0,4.977,1.11,195,146,0,3,3,0,3.211,1,2,3,3,2,3
https://clarkmorelia.com/,text/html; charset=utf-8,200,Indexable,Clark Morelia | Handmade leather wallets and bags,49,447,Handmade leather bags and wallets from Pittsburgh Pennsylvania. Enjoy full grain leather items handmade in the USA. Our small studio produces leather goods crafted with care.,174,1099,Clark Morelia,13,GUIDELINES,10,294,73.0,194534,46140,294,73.0,4.027,1.11,50,21,0,5,3,0,0.766,2,2,3,4,2,3
https://ashlandleather.com/,text/html; charset=utf-8,200,Indexable,Ashland Leather | Handmade in Chicago,37,355,"Heritage quality Horween® leather men's wallets, belts & accessories. Handmade in Chicago, U.S.A. Lifetime guaranteed. Ashland uses 100% genuine full-grain Horween® leathers, including Shell Cordovan and Chromexcel. Fast & free shipping on domestic orders $150+",261,1673,Ashland Leather,15,Easy Boneless Chicken Biryani Recipe,36,1454,364.0,1134813,90389,1454,364.0,3.995,1.11,833,37,0,2,2,0,0.61,2,2,3,4,2,3
https://www.popovleather.com/collections/leather-wallets,text/html; charset=utf-8,200,Indexable,Leather Wallets: Slim Profiles with Maximum Functionality,57,513,"Embrace the minimalist vibe with our leather wallets. Despite their sleek design, they offer ample space for cards, cash, and more.",131,800,Leather Wallets,15,See why the Hyundai PALISADE is better than the Honda Pilot ⁠ Claim based on comparison of specifications on manufacturer websites.,131,2888,686.0,1413270,128686,2888,686.0,4.21,1.11,256,121,0,3,3,0,0.978,2,3,3,3,2,3
https://www.schottnyc.com/store/accessories/small-leather-goods,text/html;charset=UTF-8,200,Indexable,"Leather Wallets, Belts, Keychains, Gloves",41,359,"Smaller handmade leather items such as wallets from Coronado Leather, Belts, Schott NYC Keychains, and gloves",109,702,Leather Goods,13,ECE 205 Object Oriented Programming (4),39,448,192.0,104387,21085,448,192.0,2.333,1.11,165,104,0,4,4,0,4.108,2,2,3,3,2,3
https://bareleather.com.au/collections/wallets-purses,text/html; charset=utf-8,200,Indexable,"Wallets / Purses
    
    
    
      – BARE Leather",52,288,"Discover Bare, a female heart-led leather brand. Designed in Broome by founder Kelly, our exquisite handcrafted leather wallets, clutches, and bags feature luxurious textures and timeless designs. Perfect for the stylish modern woman, each piece transitions effortlessly from day to night and promises enduring elegance.",320,1976,Running name normalization on email headers,43,Meet Mario Ferruzzi CALS New Dean,33,236,124.0,546655,86692,236,124.0,1.903,1.11,90,36,0,5,5,0,1.167,2,2,3,4,2,3
https://originusa.com/collections/wallets-1,text/html; charset=utf-8,200,Indexable,"Leather Wallets
 – ORIGIN",25,224,"Order your handcrafted leather wallet today. Made in Maine from American cow hide, ORIGIN™ genuine leather wallets feature heavy-duty corded stitching for durability and an embossed Wave of Freedom logo.",203,1291,WALLETS,7,WALLETS,7,555,207.0,790919,132412,555,207.0,2.681,1.11,334,106,0,14,9,0,0.896,1,1,3,4,2,3
https://misc-goods-co.com/collections/wallets,text/html; charset=utf-8,200,Indexable,"Wallets
	
	
	
	
		– Misc. Goods Co.",35,233,Find your Boston Celtics Mens Hoodies and sweatshirts at the Official Boston Celtics Shop. Browse our selection of Celtics hoodies and sweatshirts for every Celtics fan at Official Boston Celtics Shop.,201,0,"Carry It, Well.",15,Updated US and Canadian Normalization Factors for TRACI 2.1,59,753,185.0,137975,30805,753,185.0,4.07,1.11,123,51,0,10,6,0,0.755,2,2,3,1,2,3
https://www.lostdutchmanleather.com/products/the-franklin,text/html; charset=utf-8,200,Indexable,Handmade Leather Card Holder - The Franklin,43,403,The Franklin | Handmade Leather Card Holder | Minimalist Leather Wallet | Made in the U.S.A. | Full grain vegetable tanned leather | Lost Dutchman Leather,154,953,The Franklin,12,Stay in touch!,14,1798,297.0,713041,90924,1798,297.0,6.054,1.11,36,21,0,1,1,0,0.366,2,2,3,3,2,3
https://www.hanksbelts.com/collections/usa-made-mens-wallets,text/html; charset=utf-8,200,Indexable,Mens Leather Wallets - Hanks Leather Wallet - Hanks Belts,57,514,Finding a good leather wallet is difficult. Finding a good USA made wallet is nearly impossible… until now! Hanks men's leather wallets are top quality!,152,923,Search,6,Men's Leather Wallets,21,454,159.0,874788,112445,454,159.0,2.855,1.11,244,147,0,5,5,0,1.283,1,2,3,3,2,3
https://www.montblanc.com/en-us/collection/bags-leather-goods/all-bags-leather-goods/wallets-card-holders,text/html; charset=utf-8,200,Indexable,Luxury Leather Wallets & Card Holders - Montblanc® US,53,494,"Discover our collection of Luxury Leather Wallets & Card Holders. Compare models, prices and shop on the official Montblanc store.",130,815,Wallets & Card Holders,22,ECE 205 Object Oriented Programming (4),39,1095,302.0,433773,48392,1095,302.0,3.626,1.11,283,228,0,8,8,0,1.798,2,2,3,3,2,3
https://saddlebackleather.com/mens-leather-wallets-belts/,text/html; charset=UTF-8,200,Indexable,Leather Wallets | Full Grain Slim RFID Bifold | Saddleback,58,498,"These full grain leather wallets for men are the most durable, longest lasting wallet we know of. Backed by a 100 Year Warranty. They'll fight over it when you're dead.",168,1021,Leather Wallets,15,ECE 205 Object Oriented Programming (4),39,3388,600.0,364827,62133,3388,600.0,5.647,1.11,309,104,0,6,6,0,1.546,2,2,3,4,2,3
https://ilbussetto.it/collections/wallets,text/html; charset=utf-8,200,Indexable,Wallets,7,65,"Minimalist and compact, or roomy and secured with a zipper. Whether you carry only the essential or need more space for cards, cash, coins and receipts, here you will find a wide range of handcrafted leather wallets to choose from.",231,1428,Wallets,7,Wallets,7,1474,302.0,606333,69391,1474,302.0,4.881,1.11,133,66,0,4,4,0,0.98,1,1,3,4,1,2
https://www.nixon.com/products/cape-vegan-leather-wallet-brown,text/html; charset=utf-8,200,Indexable,"Cape Vegan Leather Wallet | Brown
 – Nixon US",45,414,"The Cape Vegan Leather Wallet in Brown features easy access currency sleeve, mesh ID window, and custom metal logo rivet at front.",130,827,Cape Vegan Leather Wallet,25,Get Ready to Jump in 2024,25,504,138.0,413686,68575,504,138.0,3.652,1.11,301,143,0,10,5,0,0.587,2,2,3,3,2,3
https://herschel.com/shop/wallets,text/html; charset=UTF-8,200,Indexable,Wallets | RFID & Leather Wallets | Herschel Supply Company,58,527,"Herschel Supply wallets - where classic design meets convenience. Free Shipping and 24/7 Customer Service in NA, EU, UK and AUS.",128,823,SureTrack™ Dual Wireless Mouse,30,Ask for info,12,1544,525.0,711743,55318,1544,525.0,2.941,1.11,689,304,0,15,10,0,1.195,2,2,3,3,2,3
https://www.furla.com/us/en/eshop/women/wallets/,text/html; charset=utf-8,200,Indexable,Women’s leather wallets and purses : shop online | Furla US,59,523,"Choose your Furla leather goods between large wallets, small wallets, zip wallets and purses, trifold and bifold wallets. Shop online on the official website.",158,951,Wallets,7,Meet Mario Ferruzzi CALS New Dean,33,166,56.0,2291941,300761,166,56.0,2.964,0.0,365,84,0,12,7,0,1.814,1,2,3,3,2,3
https://stayfine.co/collections/mens-wallet,text/html; charset=utf-8,200,Indexable,"Mens Wallet
– stayfineco",24,224,"Unisex Crosswind Quarter Zip Sweatshirt is a cotton/polyester 1/4 zip for men, women, businesses, and more. Metal zipper and pockets. Shop 9359 now.",148,0,Collection: Mens Wallet,23,GUIDELINES,10,131,50.0,180028,35788,131,50.0,2.62,1.11,101,55,0,2,2,0,0.72,2,2,3,1,2,3
https://launer.com/c/wallets,text/html; charset=utf-8,200,Indexable,Wallets | Men's Luxury Leather Wallets | Launer London,54,485,Browse Launer men's wallets for leather bifold wallets handmade in Britian. Made to order & colour customisable. Complimentary worldwide shipping on all bags.,158,998,Wallets,7,Wallets,7,1910,1274.0,486835,25069,1910,1274.0,1.499,1.11,552,301,0,3,3,0,0.939,1,1,3,3,2,3
https://oldisroad.com/,text/html; charset=utf-8,200,Indexable,"Olids Road Handmade leather wallets, backpacks – JJ Leathersmith",64,601,"Handmade leather wallets, backpacks made for everyday adventures and wanderlust travel experiences.",99,643,JJ Leathersmith,15,Trending Songs,14,503,91.0,413380,86964,503,91.0,5.527,1.11,26,15,0,1,1,0,0.769,2,2,2,3,2,3
https://colsenkeane.com/collections/full-grain-leather-wallets,text/html; charset=utf-8,200,Indexable,"Full Grain Leather Wallets – ColsenKeane Leather, LLC",53,481,"Wallets are utilitarian, of course, but they should also be built handsomely and made to last. Ours are all constructed from Full-Grain Leather, expertly hand-stitched, and with the most durable hardware in the industry. Luxurious and hard wearing, our wallets ensure your style won't falter no matter the occasion.",315,1914,Full Grain Leather Wallets,26,RAISING A CHILD WITH ANXIETY OR OCD?,36,747,254.0,483912,64994,747,254.0,2.941,1.11,146,71,0,8,8,0,0.874,2,2,3,4,2,3
https://www.velasca.com/products/carobbi-m,text/html; charset=utf-8,200,Indexable,Handcrafted woven leather wallet for men | Velasca,50,455,"Choose the handcrafted woven leather wallet for men, it holds cards and bills comfortably.",90,559,Science Inventory,17,Trending Songs,14,141,28.0,261140,74863,141,28.0,5.036,0.0,0,0,0,6,2,0,0.701,2,2,2,3,2,3
https://www.ripcurl.com/uk/mens/equipment/wallets.html,text/html; charset=UTF-8,200,Indexable,Men's Wallets - Leather Wallets & Surf Wallets  - Rip Curl Europe,65,554,Keep your essentials safe with our range of men's wallets. Find quality men's leather wallets & more. Free Online and In-Store Returns.,135,828,Men's Wallets,13,ECE 205 Object Oriented Programming (4),39,235,55.0,217905,59905,235,55.0,4.273,1.11,241,196,0,9,9,0,1.438,2,2,3,3,2,3
https://www.thebridgefirenze.com/en-us/collections/wallets-men,text/html; charset=utf-8,200,Indexable,Elegant men's leather wallets | The Bridge,42,367,"Discover the collection of men's leather wallets by The Bridge, perfect for storing credit cards, banknotes, and coins. Shop online!",132,797,Men's wallets,13,Choose a Location,17,626,258.0,1117703,65241,626,258.0,2.426,1.11,303,121,0,5,3,0,1.182,2,2,3,3,2,3
https://leatherworker.net/forum/topic/97916-synthetic-pockets-in-leather-wallets/,text/html;charset=UTF-8,200,Indexable,Synthetic Pockets in Leather Wallets - How Do I Do That? - Leatherworker.net,76,678,"Hi, I am new to leather working (2 weeks) and to this forum. I am working on a wallet and have a lot of questions but, mainly, one regarding the pockets for the cards. Now I am using a ‘T’ shape design with 2/3 oz leather. But even leather that thin (and skived) gets pretty bulky in the middle wh...",300,1818,Synthetic Pockets in Leather Wallets,36,Naive implemantation of the backward pass through the BatchNorm-Layer,69,2630,522.0,200350,29117,2630,522.0,5.038,1.11,179,57,0,29,29,0,1.543,2,2,3,4,2,3
https://www.hammitt.com/collections/small-leather-goods,text/html; charset=utf-8,200,Indexable,"Leather Wallets and Accessories for Women | Hammitt
 – HAMMITT",62,597,"Keep everything you need in one of Hammitt’s stylish leather wallets and accessories! Big or small, our whole collection is crafted from beautiful, quality leather.",164,986,Collection: Leather Wallets & Accessories,41,Advanced Object Oriented Programming (4340701),46,1217,351.0,819204,111690,1217,351.0,3.467,1.11,176,85,0,13,6,0,1.275,2,2,3,3,2,3
https://www.williamhenry.com/collections/small-leather-goods.html,text/html; charset=UTF-8,200,Indexable,High End Men's Leather Wallets & Accessories | William Henry | William Henry,76,681,"Explore premium men's leather wallets and accessories from William Henry, handcrafted for refined daily enjoyment.",114,718,Designer Men's Leather Wallets & Accessories,44,Ask for info,12,400,179.0,188481,34008,400,179.0,2.235,1.11,168,72,0,6,6,0,8.737,2,2,3,3,2,3
https://stetson.com/collections/mens-accessories-wallets,text/html; charset=utf-8,200,Indexable,"Mens Wallets
       | Stetson",29,202,"Buy Fashion Jewellery Online for women. Check out the trendy collection of earrings, necklaces, bracelets, and rings. Cash on Delivery and Easy Returns.",152,0,Skydiving,9,Updated US and Canadian Normalization Factors for TRACI 2.1,59,103,52.0,309387,47146,103,52.0,1.981,1.11,259,130,0,8,8,0,0.574,1,2,3,1,2,3
https://www.paper-republic.com/collections/wallets,text/html; charset=utf-8,200,Indexable,"leather wallets
      
      
       – paper republic",53,278,"our wallets are reliable lifelong companions and a must-have for everyone who longs for quality craftsmanship, timeless design, and flat pockets",144,891,leather wallets,15,Bachelor of Science in Mathematics,34,1277,349.0,438439,66221,1277,349.0,3.659,1.11,564,80,0,8,8,0,0.977,2,2,3,3,2,3
https://brontibay.fr/a/l/en/collections/portefeuilles,text/html; charset=utf-8,200,Indexable,Women's leather wallets - Brontibay Paris,41,364,"Organize your handbag with our iconic line of ""modern retro chic"" wallets. In noble and natural leather and vintage-inspired, they will be your daily accomplices.",162,979,Wallets,7,Need help?,10,1035,402.0,630954,65665,1035,402.0,2.575,1.11,299,146,0,6,3,0,5.326,1,2,3,3,2,3
https://www.krsaddleshop.com/collections/luggage-bags-wallets,text/html; charset=utf-8,200,Indexable,"Premium Leather Wallets and Sterling Silver Money Clips
 – King Ranch Saddle Shop",81,739,"Our exclusive wallet collection is designed for those who appreciate the finer things in life, combining top-tier craftsmanship with the rugged allure of the ranch.",164,987,Wallets,7,Ask for info,12,1490,417.0,691594,109430,1490,417.0,3.573,1.11,331,90,0,6,3,0,1.156,1,2,3,3,2,3
https://espinozasleather.com/collections/wallets,text/html; charset=utf-8,200,Indexable,Espinoza's Leather Wallets,26,236,"Everyday essentials with Espinoza's Leather wallets. Meticulously crafted for timeless style and functionality, our wallets are a perfect for riding.",149,888,CS50’s Introduction to Programming with Python,46,Meet Mario Ferruzzi CALS New Dean,33,1417,410.0,330016,48625,1417,410.0,3.456,1.11,574,56,0,7,4,0,0.774,2,2,3,3,2,3
https://www.aignermunich.com/women/wallets,text/html;charset=utf-8,200,Indexable,Quality leather wallets & purses online - Aigner,48,408,Discover quality leather wallets & purses for women in the Etienne Aigner online shop and indulge in a piece of Tuscan tradition and lifestyle. Colourful range of high quality wallets in all shapes and sizes.,208,1254,Wallets,7,Meet Mario Ferruzzi CALS New Dean,33,299,143.0,729238,133126,299,143.0,2.091,1.11,85,67,0,13,12,0,0.786,1,2,3,4,2,3
https://www.marlondoleather.com/collections/leather-wallets,text/html; charset=utf-8,200,Indexable,Leather Wallets – Marlondo Leather Co.,38,351,"Big, small, long, thin - Marlondo Leather Company has you covered. Many different styles of wallets to choose from...all designed for easy of use and longevity.",160,980,Leather Wallets,15,Updated US and Canadian Normalization Factors for TRACI 2.1,59,90,37.0,95722,21739,90,37.0,2.432,1.11,59,46,0,4,4,0,0.688,2,2,3,3,2,3
https://ridge.com/collections/leather-wallets,text/html; charset=utf-8,200,Indexable,"Leather Wallets for Men - Slim, Modern, RFID Blocking - Ridge",61,538,"Explore Ridge's premium leather wallets for men, featuring RFID protection, sleek designs, and unmatched durability for everyday elegance.",138,858,LEATHER WALLETS,15,LEATHER WALLETS,15,1466,417.0,2982739,248763,1466,417.0,3.516,1.11,119,69,0,26,9,0,1.207,2,2,3,3,2,3
